-5;8;77;743;0.018
-8;10;81;740;0.017
-8;6;76;749;0.016
-10;4;88;750;0.01
-2;9;90;731;0.017
-4;8;87;750;0.016
-6;6;75;756;0.013
2;4;79;739;0.013
0;9;78;751;0.015
2;4;50;736;0.041
2;2;80;742;0.01
5;1;91;748;0.04
8;5;75;745;0.083
11;4;78;745;0.0665
9;2;93;740;0.021
14;0;46;753;0.001
21;8;87;746;0.012
11;6;45;740;0.013
17;10;51;750;0.019
28;1;74;747;0.028
18;8;80;740;0.115
19;8;76;737;0.01
26;6;63;745;0.074
30;4;78;750;0.071
29;6;68;751;0.065
25;6;79;741;0.067
29;4;69;745;0.075
30;2;75;747;0.065
28;4;66;746;0.092
24;2;62;746;0.045
26;3;68;752;0.07
25;5;72;751;0.07
14;4;84;740;0.048
10;6;89;733;0.034
12;4;88;737;0.049
16;4;84;748;0.075
7;8;83;755;0.012
4;8;72;760;0.116
0;4;85;760;0.023
3;2;71;748;0.047
-5;4;80;750;0.035
-1;4;76;747;0.06
-6;2;80;756;0.018
-3;6;48;740;0.117
-12;2;72;735;0.052
-18;2;77;744;0.043
-6;4;68;739;0.05
-6;4;80;740;0.054
-24;3;69;756;0.061
-12;3;92;745;0.063
-4;3;68;743;0.054
-18;1;81;755;0.056
-12;1;75;748;0.06
-14;1;86;766;0.058
-12;1;53;756;0.068
-3;2;61;734;0.069
3;1;73;744;0.123
-1;1;55;746;0.07
2;2;46;745;0.083
4;6;57;748;0.045
5;2;90;742;0.034
8;3;44;740;0.03
3;2;24;743;0.046
3;2;32;747;0.047
26;3;29;739;0.034
11;2;27;751;0.029
22;4;66;752;0.033
12;1;60;744;0.03
22;2;57;742;0.04
20;2;34;746;0.04
20;1;63;731;0.04
25;2;61;736;0.04
15;1;57;742;0.028
26;2;76;741;0.04
28;1;57;746;0.04
28;1;45;741;0.031
27;2;51;742;0.034
22;1;41;754;0.038
24;1;26;752;0.041
19;1;53;742;0.061
14;2;52;745;0.051
19;1;65;740;0.062
18;6;57;749;0.042
5;1;51;762;0.05
4;1;75;741;0.048
7;1;91;738;0.024
5;2;79;751;0.072
-5;2;80;738;0.121
-4;2;69;741;0.178
-4;1;84;758;0.04
-2;1;96;739;0.013
2;1;83;752;0.057
-4;1;85;741;0.041
-3;1;86;743;0.054
-6;1;96;750;0.049
-2;0;92;748;0.039
-15;3;75;753;0.013
-16;1;65;753;0.029
-14;5;72;777;0.026
-12;3;88;753;0.027
-10;1;93;761;0.024
-16;3;87;770;0.012
-14;4;86;773;0.013
-16;1;75;757;0.015
-14;1;37;762;0.0222
-2;2;55;748;0.022
-6;2;62;744;0.021
-4;5;72;757;0.016
4;3;38;757;0.079
3;2;12;756;0.012
6;5;23;746;0.0089
8;7;34;749;0.013
10;3;39;761;0.005
14;4;15;753;0.033
28;5;31;751;0.012
13;4;12;756;0.004
15;1;57;752;0.002
20;2;42;745;0.003
20;5;7;748;0.009
29;4;2;755;0.017
26;4;32;748;0.0075
20;3;49;749;0.012
24;2;71;751;0.019
29;1;34;761;0.011
29;1;13;747;0.008
20;4;10;755;0.005
18;3;22;756;0.007
12;5;18;752;0.01
21;4;23;758;0.009
16;7;16;756;0.021
12;4;29;753;0.038
8;3;89;747;0.039
7;6;90;737;0.035
4;8;70;743;0.024
7;6;87;726;0.028
10;1;69;749;0.032
-2;6;90;753;0.036
-1;6;83;763;0.037
-5;6;81;729;0.04
-8;6;84;756;0.031
-8;1;61;744;0.027
-8;7;89;751;0.016
-6;4;88;759;0.014
-10;4;82;738;0.013
